GENDER,REFERRING_PROVIDER_REGION,DISEASE_CODE,RECEIVING_PROVIDER_REGION,AGE_GROUP,TOTAL_REFERRALS
F,Tabuk,V99,Medinah,18-29,1
F,Qassim,S06.03,Qassim,80+,3
M,Jeddah,U80.3,Makkah,00-17,2
M,Hafer AlBatin,G54.0,Hafer Albatin,18-29,2
M,Qassim,P28.40,Qassim,00-17,3
F,Makkah,G04.8,Jeddah,00-17,19
M,Jeddah,S72.05,Makkah,70-79,1
F,Medinah,J96.01,Medina,70-79,6
M,Eastern Region,D35.0,East,40-49,15
F,Makkah,G93.1,Makkah,80+,6
M,Bisha,V99,Assir,40-49,6
M,Jeddah,C34.9,Jeddah,70-79,1
M,Makkah,V99,Makkah,60-69,6
F,Eastern Region,N17.9,East,60-69,17
M,Jazan,I79.0,Jazan,50-59,2
M,Medinah,U82.3,Medinah,50-59,1
M,Eastern Region,R05,East,18-29,18
M,Jeddah,J45.9,Makkah,30-39,1
F,Riyadh,S82.81,Riyadh,80+,31
M,Jazan,S65.1,Jazan,18-29,2
M,Najran,R56.0,Najran,00-17,6
M,Jeddah,N18.2,Makkah,50-59,1
M,Riyadh,A78,Riyadh,50-59,29
F,Jeddah,E11.11,Jeddah,60-69,23
M,Asir,S53.43,Assir,00-17,6
F,Riyadh,G41.9,Hail,40-49,2
F,Medinah,P59.0,Medina,30-39,6
F,Asir,K75.0,Assir,00-17,6
F,Qassim,U82.3,Qassim,60-69,2
M,Asir,N17.9,Assir,70-79,1
M,Qassim,K26.3,Qassim,30-39,2
M,Eastern Region,J18.9,East,40-49,18
F,Jeddah,R57.1,Jeddah,80+,20
F,Asir,J18.9,Assir,30-39,6
F,Asir,S72.05,Assir,80+,6
M,Qassim,I26.9,Qassim,60-69,2
M,Asir,S73.00,Assir,18-29,1
F,Medinah,J21.9,Medinah,00-17,11
M,Jeddah,I61.9,Makkah,60-69,2
F,Riyadh,I50.9,Riyadh,50-59,62
M,Asir,N00.6,Asir,00-17,1
F,Medinah,I64,Medinah,40-49,1
M,Najran,J45.9,Najran,00-17,15
F,Jeddah,I64,Makkah,70-79,10
F,Jeddah,J39.9,Makkah,40-49,1
F,Jeddah,J06.9,Makkah,00-17,1
F,Jeddah,R56.8,Jeddah,00-17,21
F,Jeddah,J45.9,Makkah,30-39,1
M,Qunfotha,J06.9,Medina,40-49,6
M,Makkah,R10.0,Jeddah,80+,21
F,Makkah,J45.9,Makkah,60-69,6
F,Makkah,I64,Makkah,70-79,30
F,Jeddah,R10.4,Makkah,80+,1
F,Qassim,R11,Qassim,80+,3
F,Makkah,J02.9,Makkah,00-17,6
M,Medinah,R05,Medina,70-79,18
F,Makkah,P22.0,Makkah,00-17,7
F,Riyadh,N22.8,Riyadh,00-17,30
F,Makkah,I70.9,Makkah,60-69,6
F,Qassim,R57.2,Riyadh,70-79,31
F,Qassim,J96.09,Qassim,60-69,5
F,Jeddah,R07.1,Makkah,18-29,1
M,Riyadh,M86.37,Assir,30-39,6
M,Riyadh,N17.9,Riyadh,30-39,63
F,Riyadh,I62.9,Riyadh,18-29,3
M,Taif,W79,Jeddah,00-17,20
F,Makkah,O42.9,Makkah,18-29,6
F,Jeddah,J91,Makkah,40-49,1
M,Jeddah,V09.9,Makkah,18-29,1
F,Qassim,K92.2,Qassim,80+,3
M,Jeddah,I51.9,Makkah,40-49,4
F,Jeddah,I98.3,Jeddah,18-29,19
F,Riyadh,M86.17,Riyadh,60-69,31
M,Jeddah,T87.6,Makkah,60-69,1
M,Jazan,W84,Jazan,70-79,2
M,Jazan,E10.11,Jazan,18-29,2
F,Medinah,R10.0,Medinah,18-29,1
F,Makkah,J96.01,Makkah,50-59,6
M,Eastern Region,Z50.8,East,30-39,3
M,Asir,M15.4,Assir,70-79,1
M,Medinah,E10.11,Medina,00-17,6
M,Medinah,R19.4,Medinah,00-17,1
M,Riyadh,N31.8,Riyadh,50-59,38
F,Riyadh,N11.0,Riyadh,70-79,30
F,Asir,H81.4,Assir,60-69,6
F,Riyadh,K85.9,Riyadh,40-49,1
F,Riyadh,J06.9,Riyadh,00-17,32
M,Jeddah,R57.2,Jeddah,50-59,22
M,Asir,K60.2,Assir,18-29,1
M,Riyadh,N17.9,Riyadh,80+,31
M,Qunfotha,I50.0,Makkah,00-17,6
F,Qassim,J18.8,Qassim,80+,2
M,Bisha,T21.01,Assir,18-29,6
M,Asir,U80.3,Assir,18-29,6
F,Medinah,J45.9,Medina,60-69,7
F,Jeddah,G40.60,Jeddah,00-17,20
F,Asir,J81,Assir,60-69,7
M,Qunfotha,S42.23,Makkah,30-39,6
M,Riyadh,E10.11,Riyadh,50-59,1
M,Jeddah,Z50.8,Riyadh,00-17,1
M,Asir,J93.8,Asir,30-39,1
M,Bisha,I46.0,Assir,60-69,6
M,Jeddah,V99,Makkah,00-17,4
M,Makkah,J96.00,Makkah,50-59,6
M,Eastern Region,U82.3,East,40-49,18
F,Riyadh,J94.0,Medinah,00-17,1
M,Hail,Z50.9,Riyadh,30-39,1
F,Asir,J44.9,Assir,00-17,6
M,Jazan,Z50.9,Jeddah,18-29,1
F,Asir,P36.8,Assir,00-17,7
M,Makkah,I21.9,Makkah,60-69,6
M,Medinah,J18.9,Medinah,60-69,1
M,Eastern Region,I64,East,80+,18
F,Asir,S83.10,Assir,30-39,1
F,Riyadh,I64,Riyadh,70-79,172
F,Jeddah,J20.9,Jeddah,00-17,97
M,Jeddah,R07.4,Jeddah,50-59,45
M,Asir,R10.0,Assir,80+,7
F,Asir,I64,Assir,80+,61
F,Riyadh,I10,Riyadh,70-79,31
M,Makkah,J06.9,Makkah,60-69,12
F,Makkah,A09.9,Makkah,80+,6
F,Riyadh,S06.03,Riyadh,80+,38
M,Asir,S62.7,Assir,00-17,14
M,Jeddah,K85.9,Makkah,40-49,1
M,Jeddah,P22.8,Jeddah,00-17,38
F,Jeddah,R05,Makkah,60-69,4
M,Tabuk,I98.2,Medina,30-39,6
M,Riyadh,D57.0,Riyadh,00-17,64
M,Jeddah,G41.9,Jeddah,18-29,43
M,Jeddah,V99,Jeddah,18-29,172
F,Riyadh,P22.0,Riyadh,40-49,31
M,Jeddah,R23.0,Makkah,00-17,1
F,Outside-KSA,J96.01,Makkah,00-17,1
F,Jeddah,T58,Makkah,00-17,2
F,Jeddah,R13,Makkah,60-69,1
F,Jeddah,A41.8,Jeddah,70-79,21
F,Asir,J18.9,Assir,50-59,6
M,Asir,S73.00,Assir,70-79,12
F,Medinah,J15.9,Medina,00-17,48
F,Jeddah,E11.11,Jeddah,00-17,77
F,Riyadh,I51.9,Riyadh,70-79,34
F,Asir,A41.9,Assir,00-17,149
F,Riyadh,T21.01,Riyadh,40-49,30
M,Qassim,I50.9,Qassim,70-79,5
M,Qassim,N17.9,Qassim,80+,3
F,Makkah,I50.9,Makkah,60-69,6
M,Makkah,R57.8,Makkah,80+,6
F,Asir,S42.23,Assir,00-17,7
M,Jeddah,A41.9,Jeddah,80+,124
F,Riyadh,J15.9,Riyadh,00-17,94
F,Riyadh,R07.4,Riyadh,60-69,31
F,Taif,S42.3,Taef,18-29,2
M,Taif,P59.9,Taef,00-17,2
M,Asir,S32.4,Assir,60-69,14
F,Qunfotha,A41.2,Makkah,70-79,6
F,Qassim,R06.6,Qassim,70-79,3
F,Qassim,E13.15,Qassim,00-17,3
M,Riyadh,J18.9,Riyadh,60-69,138
F,Jeddah,G94.8,Makkah,18-29,1
F,Jeddah,P58.3,Jeddah,00-17,20
F,Riyadh,U80.3,Riyadh,18-29,32
M,Jeddah,J93.8,Jeddah,00-17,38
F,Jeddah,P58.1,Jeddah,00-17,20
M,Jeddah,T87.6,Jeddah,60-69,24
F,Riyadh,Q90.9,Riyadh,00-17,60
M,Qassim,A41.9,Qassim,60-69,6
M,Bisha,A41.9,Assir,00-17,7
F,Qassim,R07.1,Qassim,00-17,2
F,Jeddah,A41.9,Makkah,80+,4
M,Jeddah,N18.9,Jeddah,70-79,22
F,Qurayyat,J18.9,Riyadh,00-17,30
M,Jeddah,K92.9,Jeddah,50-59,67
M,Qassim,G93.4,Qassim,18-29,4
M,Jeddah,I64,Jeddah,30-39,43
F,Jeddah,P36.9,Makkah,00-17,1
M,Makkah,D73.0,Makkah,80+,7
M,Medinah,V99,Medina,18-29,12
F,Jeddah,P07.31,Jeddah,00-17,132
M,Jeddah,I24.9,Jeddah,60-69,237
F,Jouf,Q25.0,Riyadh,00-17,31
M,Jeddah,J96.09,Jeddah,70-79,26
M,Jeddah,E10.11,Jeddah,40-49,39
M,Riyadh,R05,Riyadh,30-39,100
F,Jeddah,P22.0,Jeddah,30-39,61
M,Qassim,E11.11,Qassim,00-17,7
F,Riyadh,U80.3,Riyadh,00-17,160
M,Riyadh,V99,Riyadh,18-29,311
F,Riyadh,R56.0,Riyadh,00-17,31
F,Jeddah,J15.9,Jeddah,00-17,23
F,Medinah,O09.9,Medina,30-39,106
M,Medinah,J96.10,Medina,60-69,6
F,Medinah,P20.9,Medina,18-29,6
M,Medinah,I85.9,Medina,50-59,6
M,Jeddah,P96.0,Jeddah,40-49,21
M,Riyadh,N18.9,Riyadh,80+,31
M,Asir,S72.9,Riyadh,30-39,31
F,Medinah,E74.9,Medinah,00-17,1
M,Riyadh,A41.8,Riyadh,00-17,30
M,Riyadh,J96.09,Riyadh,80+,1
M,Jazan,R05,Jazan,30-39,2
M,Qassim,J81,Qassim,80+,2
F,Jazan,R56.0,Jazan,00-17,2
F,Medinah,P70.1,Medinah,40-49,1
M,Qassim,R10.4,Qassim,50-59,3
M,Asir,V89.2,Assir,70-79,7
M,Qassim,E10.11,Qassim,00-17,3
F,Hafer AlBatin,I51.9,Hafer Albatin,50-59,2
F,Medinah,O42.9,Medina,40-49,26
M,Makkah,S52.11,Makkah,18-29,6
M,Asir,T18.1,Assir,00-17,7
F,Makkah,U82.3,Makkah,50-59,6
M,Jeddah,G46.4,Makkah,60-69,1
F,Jeddah,I98.3,Jeddah,50-59,26
F,Medinah,P70.1,Medina,40-49,7
F,Jazan,R11,Jazan,18-29,2
F,Riyadh,P07.32,Riyadh,18-29,63
M,Medinah,K92.9,Medina,40-49,7
M,Riyadh,S06.5,Riyadh,50-59,1
M,Asir,M00.96,Assir,40-49,7
F,Medinah,P07.32,Medinah,18-29,1
F,Jeddah,T21.09,Jeddah,00-17,20
M,Taif,S82.38,Jeddah,00-17,20
F,Asir,L89.90,Asir,80+,1
F,Medinah,O00.0,Medinah,00-17,1
F,Riyadh,L03.8,Riyadh,60-69,60
F,Jeddah,U80.3,Jeddah,00-17,23
F,Medinah,J96.00,Medina,00-17,5
F,Asir,P07.12,Assir,30-39,7
M,Jeddah,J06.9,Makkah,70-79,1
M,Asir,S72.01,Assir,40-49,6
F,Riyadh,R57.2,Riyadh,80+,1
M,Medinah,K92.9,Medinah,40-49,1
F,Asir,P39.9,Assir,18-29,7
F,Medinah,O63.9,Medina,18-29,7
M,Jazan,I42.9,Jazan,00-17,1
F,Taif,Q91.3,Taef,00-17,2
F,Medinah,P07.32,Medina,40-49,7
M,Qassim,A41.8,Qassim,80+,2
M,Riyadh,I20.0,Riyadh,50-59,30
F,Asir,J15.9,Assir,50-59,6
M,Hassa,R62.0,East,00-17,1
F,Jeddah,I10,Jeddah,70-79,24
M,Najran,G61.0,Riyadh,40-49,1
F,Makkah,J45.9,Makkah,00-17,6
F,Jazan,J18.0,Jazan,70-79,2
M,Medinah,R25.2,Medina,00-17,6
M,Jeddah,K76.9,Makkah,70-79,1
F,Riyadh,P13.4,Riyadh,50-59,31
F,Riyadh,A06.2,Riyadh,40-49,32
M,Riyadh,N17.2,Riyadh,50-59,33
F,Najran,Z50.9,Riyadh,30-39,1
M,Makkah,W84,Makkah,00-17,6
M,Hassa,Z50.9,Riyadh,00-17,1
M,Riyadh,E11.65,Riyadh,60-69,1
M,Makkah,S72.9,Makkah,30-39,6
F,Jeddah,J18.0,Jeddah,00-17,144
F,Jeddah,P01.1,Jeddah,30-39,22
F,Jeddah,U82.3,Jeddah,60-69,22
F,Riyadh,M25.55,Riyadh,18-29,30
F,Jeddah,Z50.9,Jeddah,30-39,3
F,Riyadh,P07.30,Riyadh,00-17,32
M,Qassim,N18.5,Qassim,80+,1
F,Riyadh,J18.0,Riyadh,30-39,32
F,Jeddah,V99,Jeddah,70-79,23
M,Makkah,N18.9,Makkah,60-69,6
M,Riyadh,J44.9,Riyadh,50-59,33
M,Jeddah,I10,Makkah,60-69,2
M,Jazan,V99,Jazan,50-59,4
M,Jeddah,P36.9,Jeddah,00-17,20
F,Jeddah,O63.9,Jeddah,30-39,24
M,Makkah,U80.3,Makkah,60-69,6
F,Asir,R60.9,Assir,70-79,1
F,Asir,U86.2,Assir,70-79,4
F,Jouf,J18.9,Riyadh,18-29,1
F,Medinah,J06.9,Medinah,18-29,1
M,Tabuk,I24.9,Tabuk,70-79,1
M,Jeddah,A16.8,Jeddah,00-17,24
F,Riyadh,G91.9,Riyadh,40-49,1
F,Makkah,S32.4,Makkah,50-59,6
M,Asir,G46.3,Assir,70-79,6
M,Jazan,J18.0,Jazan,60-69,4
F,Jouf,Z50.9,Riyadh,00-17,6
M,Jazan,I27.8,Jazan,60-69,2
M,Medinah,E87.1,Medina,80+,6
F,Medinah,R52.0,Medina,40-49,6
M,Riyadh,G80.4,Riyadh,00-17,3
M,Qassim,J96.00,Qassim,00-17,2
M,Jeddah,J81,Makkah,60-69,2
M,Eastern Region,P91.60,East,00-17,1
F,Riyadh,E13.11,Riyadh,00-17,32
F,Jeddah,I64,Makkah,18-29,1
F,Makkah,E11.11,Makkah,70-79,6
M,Jeddah,J44.1,Makkah,50-59,2
M,Hafer AlBatin,Z50.9,East,18-29,1
M,Medinah,A78,Medinah,00-17,1
F,Medinah,K52.9,Medina,00-17,12
F,Jazan,R05,Jazan,70-79,2
M,Eastern Region,J15.9,East,60-69,17
M,Makkah,D57.0,Makkah,40-49,6
F,Asir,G40.60,Assir,00-17,1
M,Bisha,R05,Assir,00-17,6
F,Makkah,I50.0,Makkah,80+,6
F,Medinah,O60.0,Medina,18-29,7
F,Asir,K92.2,Asir,70-79,1
F,Riyadh,E11.11,Riyadh,00-17,1
M,Jeddah,J96.01,Jeddah,18-29,20
M,Riyadh,R65.1,Riyadh,00-17,31
M,Jeddah,J21.1,Jeddah,00-17,20
F,Riyadh,A01.4,Riyadh,70-79,31
M,Riyadh,F19.0,Riyadh,70-79,3
M,Jazan,G93.4,Jazan,70-79,2
F,Jeddah,J18.8,Makkah,80+,1
M,Makkah,I26.9,Makkah,60-69,6
M,Jeddah,J06.9,Makkah,30-39,1
M,Jeddah,R17,Makkah,40-49,1
F,Qassim,I62.9,Qassim,70-79,2
M,Asir,M21.57,Assir,00-17,7
F,Jeddah,R52.9,Jeddah,70-79,21
M,Qassim,S82.21,Qassim,30-39,3
F,Riyadh,Z50.9,Riyadh,30-39,4
M,Asir,S87.0,Assir,80+,1
M,Asir,S36.83,Assir,60-69,6
M,Jeddah,S06.03,Makkah,80+,1
M,Bisha,V99,Riyadh,50-59,31
M,Medinah,D58.9,Medina,00-17,6
M,Asir,J21.0,Assir,00-17,7
M,Riyadh,J44.9,Riyadh,40-49,62
M,Makkah,S72.9,Makkah,00-17,6
M,Asir,I69.4,Assir,80+,6
F,Jeddah,E14.11,Jeddah,18-29,43
F,Medinah,I51.9,Medina,60-69,6
M,Medinah,U80.3,Medinah,18-29,1
F,Qurayyat,K91.64,Riyadh,50-59,1
M,Jeddah,Q62.0,Jeddah,00-17,19
M,Makkah,U79.3,Makkah,30-39,6
F,Asir,K92.2,Assir,70-79,8
F,Qassim,E11.11,Qassim,80+,5
M,Jeddah,K76.9,Jeddah,70-79,20
M,Jeddah,K92.2,Jeddah,40-49,21
F,Jouf,T21.03,Riyadh,18-29,31
M,Riyadh,P59.9,Riyadh,00-17,33
M,Asir,K76.9,Assir,60-69,6
M,Makkah,R57.2,Makkah,18-29,6
F,Jeddah,N18.9,Jeddah,60-69,22
M,Asir,J45.9,Assir,70-79,1
F,Qassim,U80.3,Qassim,30-39,6
M,Tabuk,L89.00,Medina,18-29,6
M,Asir,E11.11,Assir,60-69,6
F,Medinah,E11.11,Medinah,60-69,3
F,Medinah,R05,Medina,30-39,12
F,Jeddah,G61.0,Jeddah,00-17,22
M,Riyadh,Z50.9,Riyadh,50-59,17
F,Medinah,K29.70,Medina,00-17,7
M,Riyadh,G93.9,Riyadh,30-39,3
F,Asir,J18.8,Assir,18-29,7
M,Jazan,S32.4,Jazan,70-79,2
M,Hassa,R26.0,Ihsaa,00-17,1
F,Jeddah,O41.0,Jeddah,00-17,20
M,Jeddah,R57.9,Makkah,60-69,1
F,Qurayyat,Q79.0,Riyadh,00-17,32
F,Jeddah,U80.3,Makkah,00-17,1
F,Qassim,G80.8,Qassim,00-17,2
F,Riyadh,J45.9,Riyadh,18-29,67
M,Jeddah,J06.9,Jeddah,00-17,22
F,Qassim,R05,Qassim,70-79,15
M,Makkah,R05,Makkah,00-17,61
F,Medinah,O00.0,Medina,30-39,245
M,Riyadh,I64,Riyadh,60-69,327
F,Medinah,A78,Medina,00-17,12
F,Jeddah,O00.0,Jeddah,30-39,318
F,Eastern Region,J21.9,East,60-69,18
F,Riyadh,O00.0,Riyadh,18-29,124
F,Jeddah,J91,Jeddah,00-17,22
M,Riyadh,R05,Riyadh,18-29,99
M,Riyadh,B58.3,Riyadh,70-79,3
M,Jeddah,J18.9,Makkah,00-17,5
M,Riyadh,P07.31,Riyadh,00-17,121
F,Medinah,R57.2,Medina,70-79,7
M,Riyadh,E13.15,Riyadh,00-17,34
M,Riyadh,R10.0,Riyadh,18-29,62
F,Riyadh,T21.09,Jeddah,40-49,1
M,Jeddah,K56.6,Makkah,00-17,13
F,Medinah,P01.1,Medina,30-39,6
M,Jeddah,J18.9,Makkah,80+,6
F,Riyadh,K85.2,Riyadh,40-49,31
F,Jeddah,I46.0,Jeddah,60-69,24
M,Hail,Z50.9,Riyadh,00-17,4
M,Makkah,P91.60,Makkah,00-17,5
F,Asir,I71.4,Assir,40-49,6
M,Makkah,V99,Makkah,40-49,13
M,Qassim,A41.9,Qassim,00-17,5
M,Jeddah,E13.11,Makkah,18-29,2
M,Najran,G41.9,Makkah,70-79,6
M,Riyadh,U80.4,Riyadh,18-29,4
F,Riyadh,R05,Riyadh,30-39,229
M,Jeddah,S06.05,Makkah,50-59,1
M,Jeddah,E11.73,Makkah,50-59,1
M,Jeddah,J44.9,Makkah,60-69,1
F,Riyadh,I24.9,Riyadh,70-79,154
M,Qassim,J18.0,Qassim,80+,4
M,Riyadh,J21.9,Riyadh,00-17,877
M,Qunfotha,E11.11,Makkah,60-69,7
F,Jeddah,I24.9,Jeddah,50-59,84
F,Riyadh,S83.10,Riyadh,70-79,30
M,Makkah,S42.23,Makkah,18-29,6
M,Makkah,R41.0,Makkah,60-69,6
F,Medinah,I26.9,Medina,60-69,6
M,Asir,S72.3,Assir,18-29,7
M,Qassim,J47,Qassim,60-69,3
M,Makkah,E83.5,Makkah,70-79,6
F,Jeddah,E16.2,Jeddah,80+,1
M,Jeddah,U80.3,Makkah,40-49,1
M,Jeddah,E10.11,Jeddah,30-39,40
F,Jeddah,I98.3,Makkah,50-59,2
M,Medinah,E11.11,Medinah,70-79,1
M,Jazan,T75.1,Jazan,00-17,2
M,Eastern Region,R05,East,80+,17
M,Bisha,J18.9,Assir,18-29,6
F,Asir,O08.9,Assir,00-17,1
M,Jeddah,S73.00,Jeddah,60-69,21
M,Hassa,Z50.9,Ihsaa,00-17,1
M,Makkah,A19.9,Makkah,18-29,6
F,Riyadh,G82.02,Riyadh,00-17,1
M,Medinah,I50.9,Medinah,50-59,1
M,Qunfotha,S72.9,Makkah,60-69,6
M,Qassim,E11.11,Qassim,70-79,5
M,Makkah,A41.9,Jeddah,00-17,21
M,Jeddah,M47.00,Jeddah,40-49,20
F,Medinah,O61.9,Medinah,40-49,1
M,Qassim,E13.11,Qassim,30-39,2
M,Asir,T11.05,Assir,80+,7
F,Asir,P74.1,Assir,00-17,6
F,Jeddah,P59.8,Makkah,18-29,1
F,Makkah,I64,Makkah,18-29,6
M,Makkah,S52.51,Makkah,50-59,6
M,Asir,M60.09,Assir,00-17,6
M,Najran,M60.90,Najran,00-17,3
F,Jazan,R56.8,Jazan,00-17,2
M,Qassim,V99,Qassim,00-17,4
M,Jeddah,K76.9,Makkah,50-59,1
F,Hafer AlBatin,M76.6,Hafer Albatin,50-59,2
F,Jeddah,E16.2,Jeddah,00-17,1
M,Jeddah,I51.9,Makkah,50-59,3
F,Jeddah,I21.9,Makkah,70-79,2
M,Tabuk,V99,Riyadh,00-17,62
F,Jazan,R17,Jazan,80+,3
M,Asir,A48.0,Assir,50-59,6
M,Eastern Region,I21.9,East,40-49,18
F,Jeddah,G93.4,Makkah,80+,1
F,Qassim,A41.9,Qassim,60-69,3
F,Jazan,J15.9,Jazan,00-17,2
F,Asir,I26.9,Asir,80+,1
M,Qassim,K92.2,Qassim,80+,3
M,Asir,T78.2,Assir,00-17,6
M,Jeddah,G41.9,Jeddah,50-59,22
M,Riyadh,E11.11,Assir,70-79,6
F,Jeddah,E14.11,Makkah,18-29,2
F,Jeddah,E10.15,Jeddah,18-29,1
M,Jazan,V01.0,Jazan,18-29,2
M,Jeddah,S01.88,Makkah,00-17,1
M,Riyadh,S72.05,Riyadh,60-69,1
F,Jeddah,J93.9,Jeddah,00-17,23
F,Asir,P07.32,Assir,30-39,20
M,Jazan,S52.11,Jazan,00-17,2
F,Jeddah,N11.1,Makkah,70-79,1
F,Jeddah,I10,Makkah,70-79,2
F,Jazan,S06.03,Jazan,80+,2
F,Jazan,R05,Jazan,18-29,2
M,Qassim,K85.0,Qassim,40-49,2
F,Medinah,E14.11,Medina,60-69,6
M,Jeddah,J18.0,Jeddah,50-59,1
F,Jazan,J20.9,Jazan,00-17,8
M,Riyadh,M54.5,Riyadh,30-39,1
F,Eastern Region,R10.3,East,50-59,17
F,Qunfotha,H40.9,Makkah,60-69,6
M,Makkah,S32.4,Makkah,40-49,6
F,Asir,J90,Asir,80+,1
M,Riyadh,I64,Riyadh,80+,186
M,Riyadh,D57.0,Riyadh,18-29,168
M,Asir,A09.9,Assir,00-17,12
M,Asir,R05,Assir,18-29,12
F,Asir,I64,Assir,18-29,6
M,Riyadh,R05,Assir,30-39,6
F,Riyadh,I10,East,80+,6
F,Jeddah,J20.9,Makkah,00-17,5
M,Jeddah,N39.0,Jeddah,18-29,22
F,Eastern Region,R42,East,80+,17
M,Riyadh,G40.60,Riyadh,80+,30
F,Riyadh,I21.9,Riyadh,40-49,32
M,Jeddah,G41.8,Jeddah,40-49,1
M,Riyadh,Z50.8,Riyadh,60-69,6
F,Jeddah,P22.8,Jeddah,00-17,22
F,Makkah,F39,Makkah,18-29,6
F,Qunfotha,K92.2,Makkah,60-69,6
M,Riyadh,U82.3,Riyadh,80+,42
M,Jeddah,S62.63,Makkah,70-79,1
F,Riyadh,I64,Riyadh,40-49,155
M,Asir,S72.8,Assir,30-39,6
M,Riyadh,L03.8,Riyadh,00-17,30
M,Riyadh,M01.27,Riyadh,50-59,36
F,Riyadh,Z93.1,Riyadh,60-69,31
M,Jazan,H10.0,Assir,00-17,6
M,Hafer AlBatin,I85.0,Hafer Albatin,80+,2
F,Makkah,I61.5,Jeddah,60-69,20
F,Jeddah,P22.0,Jeddah,00-17,248
F,Jeddah,R06.1,Makkah,30-39,8
F,Asir,I50.9,Assir,00-17,7
M,Makkah,I21.0,Makkah,50-59,6
F,Jeddah,G93.1,Makkah,40-49,1
F,Riyadh,A41.9,Riyadh,80+,134
F,Jeddah,I27.2,Jeddah,00-17,22
M,Makkah,S66.3,Makkah,00-17,6
F,Asir,G35,Assir,40-49,7
F,Jeddah,P07.32,Makkah,30-39,4
M,Asir,N17.9,Assir,18-29,7
M,Jeddah,I64,Makkah,40-49,5
M,Riyadh,Q87.13,Riyadh,18-29,33
F,Jeddah,R57.2,Makkah,80+,4
M,Jeddah,P07.32,Jeddah,00-17,40
F,Jeddah,N91.2,Jeddah,30-39,19
F,Asir,V99,Assir,80+,6
F,Jeddah,U82.3,Makkah,40-49,1
F,Riyadh,L50.0,Riyadh,00-17,30
M,Riyadh,Z01.2,Riyadh,60-69,1
M,Jeddah,D02.2,Jeddah,60-69,20
F,Riyadh,J18.9,Riyadh,40-49,158
M,Jeddah,P22.0,Makkah,00-17,10
M,Riyadh,L03.8,Riyadh,18-29,31
M,Asir,E16.2,Assir,00-17,6
M,Riyadh,E11.11,Riyadh,70-79,216
F,Jeddah,E11.11,Makkah,80+,5
F,Qassim,E11.11,Qassim,60-69,13
M,Riyadh,J18.0,Riyadh,18-29,62
M,Makkah,J96.09,Makkah,30-39,6
F,Qassim,I43.8,Qassim,50-59,2
M,Jeddah,T52.4,Makkah,00-17,1
M,Riyadh,V09.9,Riyadh,30-39,31
M,Jeddah,I50.9,Makkah,70-79,1
F,Jeddah,G40.91,Makkah,40-49,1
M,Baha,R10.0,Riyadh,00-17,30
F,Makkah,I24.9,Makkah,40-49,7
M,Makkah,K37,Jeddah,30-39,20
M,Jeddah,E11.11,Makkah,40-49,5
F,Jeddah,P22.8,Makkah,30-39,1
F,Qassim,J15.9,Qassim,60-69,5
F,Qassim,G41.9,Qassim,18-29,6
M,Outside-KSA,K12.2,Riyadh,40-49,30
F,Jeddah,J18.9,Makkah,70-79,5
M,Riyadh,U82.3,Riyadh,40-49,95
F,Jazan,S72.00,Assir,80+,7
F,Riyadh,I24.9,Riyadh,60-69,123
F,Jeddah,R57.2,Jeddah,60-69,61
M,Jeddah,N17.9,Jeddah,40-49,127
M,Jeddah,J44.9,Makkah,70-79,1
M,Riyadh,M86.06,Riyadh,40-49,32
F,Riyadh,J15.9,Assir,80+,6
F,Jeddah,O64.3,Makkah,30-39,1
M,Jeddah,J18.9,Jeddah,70-79,167
M,Jeddah,S06.03,Jeddah,70-79,46
F,Jeddah,J96.09,Makkah,00-17,1
M,Qassim,E11.65,Qassim,60-69,3
F,Jeddah,G41.9,Jeddah,40-49,21
F,Riyadh,K92.9,Riyadh,00-17,31
M,Qassim,V99,Qassim,40-49,2
M,Eastern Region,I24.9,East,60-69,17
M,Riyadh,N46,Riyadh,40-49,1
M,Jeddah,J84.1,Makkah,60-69,1
F,Riyadh,K86.9,Riyadh,30-39,31
F,Jeddah,Z50.8,Jeddah,40-49,1
F,Jeddah,J96.99,Makkah,70-79,1
M,Jazan,J18.9,Assir,00-17,6
F,Jeddah,A48.0,Northern Borders,50-59,1
M,Medinah,G46.4,Medina,50-59,1
M,Riyadh,L89.90,Riyadh,00-17,32
M,Makkah,R10.0,Makkah,00-17,6
M,Asir,J18.9,Asir,00-17,1
F,Medinah,J15.9,Medinah,80+,1
F,Asir,R05,Assir,18-29,6
F,Makkah,A23.9,Makkah,80+,6
M,Jazan,S06.03,Jazan,80+,2
M,Riyadh,I69.1,Riyadh,30-39,1
M,Jeddah,J45.9,Jeddah,30-39,22
M,Jeddah,S72.05,Jeddah,70-79,24
M,Tabuk,Q72.6,Riyadh,18-29,1
M,Medinah,M00.19,Medina,00-17,6
M,Jeddah,N21.1,Jeddah,30-39,19
M,Riyadh,M86.08,Riyadh,60-69,30
M,Qunfotha,J47,Makkah,50-59,6
M,Baha,S62.0,Jeddah,00-17,21
F,Jeddah,O14.9,Makkah,30-39,1
M,Jeddah,E87.1,Makkah,60-69,1
M,Jeddah,G40.60,Jeddah,40-49,24
F,Medinah,R10.0,Medina,18-29,7
F,Qassim,I64,Qassim,30-39,3
F,Riyadh,K56.2,Riyadh,80+,32
M,Najran,R05,Assir,70-79,6
M,Riyadh,P07.32,Riyadh,00-17,63
F,Asir,I20.0,Assir,30-39,7
